id,sCircuitBuses/0/Bus  Number,sCircuitBuses/0/Section Number,sCircuitBuses/0/Substation  Number,sCircuitBuses/0/Bus  Name,sCircuitBuses/0/Base kV,sCircuitBuses/0/Area Num,sCircuitBuses/0/Area Name,sCircuitBuses/0/Zone Num,sCircuitBuses/0/Zone Name,sCircuitBuses/0/Owner Num,sCircuitBuses/0/Owner Name,sCircuitBuses/0/Code,sCircuitBuses/0/Voltage (pu),sCircuitBuses/0/Angle (deg),sCircuitBuses/0/Normal Vmax (pu),sCircuitBuses/0/Normal Vmin (pu),sCircuitBuses/0/Emergency Vmax (pu),sCircuitBuses/0/Emergency Vmin (pu),sCircuitBuses/0/isMapped,sCircuitBuses/0/isRelayPoint,sCircuitBuses/0/busCoordinates/x,sCircuitBuses/0/busCoordinates/y,sCircuitBuses/1/Bus  Number,sCircuitBuses/1/Section Number,sCircuitBuses/1/Substation  Number,sCircuitBuses/1/Bus  Name,sCircuitBuses/1/Base kV,sCircuitBuses/1/Area Num,sCircuitBuses/1/Area Name,sCircuitBuses/1/Zone Num,sCircuitBuses/1/Zone Name,sCircuitBuses/1/Owner Num,sCircuitBuses/1/Owner Name,sCircuitBuses/1/Code,sCircuitBuses/1/Voltage (pu),sCircuitBuses/1/Angle (deg),sCircuitBuses/1/Normal Vmax (pu),sCircuitBuses/1/Normal Vmin (pu),sCircuitBuses/1/Emergency Vmax (pu),sCircuitBuses/1/Emergency Vmin (pu),sCircuitBuses/1/isMapped,sCircuitBuses/1/isRelayPoint,sCircuitBuses/1/busCoordinates/x,sCircuitBuses/1/busCoordinates/y,sCircuitBuses/2/Bus  Number,sCircuitBuses/2/Section Number,sCircuitBuses/2/Substation  Number,sCircuitBuses/2/Bus  Name,sCircuitBuses/2/Base kV,sCircuitBuses/2/Area Num,sCircuitBuses/2/Area Name,sCircuitBuses/2/Zone Num,sCircuitBuses/2/Zone Name,sCircuitBuses/2/Owner Num,sCircuitBuses/2/Owner Name,sCircuitBuses/2/Code,sCircuitBuses/2/Voltage (pu),sCircuitBuses/2/Angle (deg),sCircuitBuses/2/Normal Vmax (pu),sCircuitBuses/2/Normal Vmin (pu),sCircuitBuses/2/Emergency Vmax (pu),sCircuitBuses/2/Emergency Vmin (pu),sCircuitBuses/2/isMapped,sCircuitBuses/2/isRelayPoint,sCircuitBuses/2/busCoordinates/x,sCircuitBuses/2/busCoordinates/y,sCircuitBuses/3/Bus  Number,sCircuitBuses/3/Section Number,sCircuitBuses/3/Substation  Number,sCircuitBuses/3/Bus  Name,sCircuitBuses/3/Base kV,sCircuitBuses/3/Area Num,sCircuitBuses/3/Area Name,sCircuitBuses/3/Zone Num,sCircuitBuses/3/Zone Name,sCircuitBuses/3/Owner Num,sCircuitBuses/3/Owner Name,sCircuitBuses/3/Code,sCircuitBuses/3/Voltage (pu),sCircuitBuses/3/Angle (deg),sCircuitBuses/3/Normal Vmax (pu),sCircuitBuses/3/Normal Vmin (pu),sCircuitBuses/3/Emergency Vmax (pu),sCircuitBuses/3/Emergency Vmin (pu),sCircuitBuses/3/isMapped,sCircuitBuses/3/isRelayPoint,sCircuitBuses/3/busCoordinates/x,sCircuitBuses/3/busCoordinates/y,sCircuitBuses/4/Bus  Number,sCircuitBuses/4/Section Number,sCircuitBuses/4/Substation  Number,sCircuitBuses/4/Bus  Name,sCircuitBuses/4/Base kV,sCircuitBuses/4/Area Num,sCircuitBuses/4/Area Name,sCircuitBuses/4/Zone Num,sCircuitBuses/4/Zone Name,sCircuitBuses/4/Owner Num,sCircuitBuses/4/Owner Name,sCircuitBuses/4/Code,sCircuitBuses/4/Voltage (pu),sCircuitBuses/4/Angle (deg),sCircuitBuses/4/Normal Vmax (pu),sCircuitBuses/4/Normal Vmin (pu),sCircuitBuses/4/Emergency Vmax (pu),sCircuitBuses/4/Emergency Vmin (pu),sCircuitBuses/4/isMapped,sCircuitBuses/4/isRelayPoint,sCircuitBuses/4/busCoordinates/x,sCircuitBuses/4/busCoordinates/y,sCircuitBuses/5/Bus  Number,sCircuitBuses/5/Section Number,sCircuitBuses/5/Substation  Number,sCircuitBuses/5/Bus  Name,sCircuitBuses/5/Base kV,sCircuitBuses/5/Area Num,sCircuitBuses/5/Area Name,sCircuitBuses/5/Zone Num,sCircuitBuses/5/Zone Name,sCircuitBuses/5/Owner Num,sCircuitBuses/5/Owner Name,sCircuitBuses/5/Code,sCircuitBuses/5/Voltage (pu),sCircuitBuses/5/Angle (deg),sCircuitBuses/5/Normal Vmax (pu),sCircuitBuses/5/Normal Vmin (pu),sCircuitBuses/5/Emergency Vmax (pu),sCircuitBuses/5/Emergency Vmin (pu),sCircuitBuses/5/isMapped,sCircuitBuses/5/isRelayPoint,sCircuitBuses/5/busCoordinates/x,sCircuitBuses/5/busCoordinates/y,sCircuitBuses/6/Bus  Number,sCircuitBuses/6/Section Number,sCircuitBuses/6/Substation  Number,sCircuitBuses/6/Bus  Name,sCircuitBuses/6/Base kV,sCircuitBuses/6/Area Num,sCircuitBuses/6/Area Name,sCircuitBuses/6/Zone Num,sCircuitBuses/6/Zone Name,sCircuitBuses/6/Owner Num,sCircuitBuses/6/Owner Name,sCircuitBuses/6/Code,sCircuitBuses/6/Voltage (pu),sCircuitBuses/6/Angle (deg),sCircuitBuses/6/Normal Vmax (pu),sCircuitBuses/6/Normal Vmin (pu),sCircuitBuses/6/Emergency Vmax (pu),sCircuitBuses/6/Emergency Vmin (pu),sCircuitBuses/6/isMapped,sCircuitBuses/6/isRelayPoint,sCircuitBuses/6/busCoordinates/x,sCircuitBuses/6/busCoordinates/y
132kV_PA,13513,,,DYCE1J,132,1,SHET,20,T2,1,SHET,1,1.018,82.31,1.1,0.9,1.1,0.9,true,true,0,0,54710,,,ABBA1-,132,1,SHET,20,T2,1,SHET,1,1.0203,82.62,1.1,0.9,1.1,0.9,true,false,0.19,2.147,54730,,,ABBA3-,33,1,SHET,20,T2,1,SHET,1,1.0184,57.36,1.1,0.9,1.1,0.9,true,false,0.680776,26.71484,54780,,,ABBA8-,0.7,1,SHET,25,T2 OFF WIND,1,SHET,2,1.02,58.86,1.1,0.9,1.1,0.9,true,false,0.70518775,27.201259999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132kV_ITW_IN,15319,,,INVE1K,132,1,SHET,30,T3,1,SHET,1,1.0155,51.32,1.1,0.9,1.1,0.9,true,true,0,0,15711,,,KILC1Q,132,1,SHET,30,T3,1,SHET,1,1.019,51.59,1.1,0.9,1.1,0.9,true,false,3.746,6.186,18011,,,NANT1Q,132,1,SHET,30,T3,1,SHET,1,1.0196,51.65,1.1,0.9,1.1,0.9,true,false,4.774,7.981,19711,,,TAYN1Q,132,1,SHET,30,T3,1,SHET,1,1.0196,51.62,1.1,0.9,1.1,0.9,true,false,5.61,9.286999999999999,18050,,,NANT5-,11,1,SHET,32,T3 HYDRO,1,SHET,2,1.02,24.89,1.1,0.9,1.1,0.9,true,false,8.2588,106.722808,19730,,,TAYN3-,33,1,SHET,30,T3,1,SHET,-2,1.0055,22.3,1.1,0.9,1.1,0.9,true,false,6.127492800000001,56.502555199999996,,,,,,,,,,,,,,,,,,,,,,
132kV_ITE-IF,15310,,,INVE1J,132,1,SHET,30,T3,1,SHET,1,1.0156,51.32,1.1,0.9,1.1,0.9,true,true,0,0,22311,,,FERO1S,132,1,SHET,30,T3,1,SHET,1,1.023,51.66,1.1,0.9,1.1,0.9,true,false,3.758,6.222,22310,,,FERO1-,132,1,SHET,30,T3,1,SHET,1,1.025,51.74,1.1,0.9,1.1,0.9,true,false,4.993,8.079,22330,,,FERO3-,33,1,SHET,30,T3,1,SHET,1,1.0167,22.8,1.1,0.9,1.1,0.9,true,false,5.5871584,24.9436896,22380,,,FERO8-,0.7,1,SHET,34,T3 ON WIND,1,SHET,2,1.0223,23.5,1.1,0.9,1.1,0.9,true,false,5.5980484,25.7059896,19712,,,TAYN1R,132,1,SHET,30,T3,1,SHET,1,1.0233,51.69,1.1,0.9,1.1,0.9,true,false,5.61,9.287,19730,,,TAYN3-,33,1,SHET,30,T3,1,SHET,-2,1.0055,22.3,1.1,0.9,1.1,0.9,true,false,6.127492800000001,56.502555199999996
132kV_IAE,15310,,,INVE1J,132,1,SHET,30,T3,1,SHET,1,1.0156,51.32,1.1,0.9,1.1,0.9,true,true,0,0,23011,,,CRAR1R,132,1,SHET,30,T3,1,SHET,1,1.0145,50.32,1.1,0.9,1.1,0.9,true,false,0.63,6.964,23031,,,CRAR3-,33,1,SHET,30,T3,1,SHET,1,1.0167,22.05,1.1,0.9,1.1,0.9,true,false,1.2189312,36.410560000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132kV_IDW,15319,,,INVE1K,132,1,SHET,30,T3,1,SHET,1,1.0155,51.32,1.1,0.9,1.1,0.9,true,true,0,0,22010,,,ANSU1-,132,1,SHET,30,T3,1,SHET,1,1.0141,50.8,1.1,0.9,1.1,0.9,true,false,0.316,3.5,22030,,,ANSU3-,33,1,SHET,30,T3,1,SHET,1,1.0114,21.96,1.1,0.9,1.1,0.9,true,false,1.5722704,45.221768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132kV_DPR,22010,,,ANSU1-,132,1,SHET,30,T3,1,SHET,1,1.0141,50.8,1.1,0.9,1.1,0.9,true,true,0,0,18512,,,PORA1R,132,1,SHET,30,T3,1,SHET,1,1.0097,49.46,1.1,0.9,1.1,0.9,true,false,0.696,7.695,18514,,,PORA1T,132,1,SHET,30,T3,1,SHET,1,1.0102,49.47,1.1,0.9,1.1,0.9,true,false,2.183,10.081,22913,,,CRSS1Q,132,1,SHET,30,T3,1,SHET,1,0.9994,46.95,1.1,0.9,1.1,0.9,true,false,1.942,21.481,18530,,,PORA3-,33,1,SHET,30,T3,1,SHET,-2,0.9941,19.31,1.1,0.9,1.1,0.9,true,false,5.1032624,58.3733584,22911,,,CRSS1J,132,1,SHET,30,T3,1,SHET,1,0.9974,46.26,1.1,0.9,1.1,0.9,true,false,2.0448016,25.288144000000003,,,,,,,,,,,,,,,,,,,,,,
132kV_AEPR,23011,,,CRAR1R,132,1,SHET,30,T3,1,SHET,1,1.0145,50.32,1.1,0.9,1.1,0.9,true,true,0,0,18513,,,PORA1S,132,1,SHET,30,T3,1,SHET,1,1.0107,49.5,1.1,0.9,1.1,0.9,true,false,0.382,4.231,18515,,,PORA1U,132,1,SHET,30,T3,1,SHET,1,1.0102,49.47,1.1,0.9,1.1,0.9,true,false,1.8690000000000002,6.617,18530,,,PORA3-,33,1,SHET,30,T3,1,SHET,-2,0.9941,19.31,1.1,0.9,1.1,0.9,true,false,4.7892624,54.909358399999995,22914,,,CRSS1R,132,1,SHET,30,T3,1,SHET,1,0.9996,46.96,1.1,0.9,1.1,0.9,true,false,1.6280000000000001,18.017,22912,,,CRSS1K,132,1,SHET,30,T3,1,SHET,1,0.9974,46.26,1.1,0.9,1.1,0.9,true,false,1.7255744000000002,21.606344,,,,,,,,,,,,,,,,,,,,,,
400kV_VND1,18240,,,PEHE4J,400,1,SHET,20,T2,1,SHET,1,1.0074,87.66,1.1,0.9,1.1,0.9,true,true,0,0,50540,,,NEDE4J,400,1,SHET,20,T2,1,SHET,1,1.008,87.6,1.1,0.9,1.1,0.9,true,false,0.554,5.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_VND2,18249,,,PEHE4K,400,1,SHET,20,T2,1,SHET,1,1.0074,87.66,1.1,0.9,1.1,0.9,true,true,0,0,50549,,,NEDE4K,400,1,SHET,20,T2,1,SHET,1,1.0082,87.61,1.1,0.9,1.1,0.9,true,false,0.554,5.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_NDR1,15040,,,ROTI4J,400,1,SHET,20,T2,1,SHET,1,1.0076,87.16,1.1,0.9,1.1,0.9,true,true,0,0,50540,,,NEDE4J,400,1,SHET,20,T2,1,SHET,1,1.008,87.6,1.1,0.9,1.1,0.9,true,false,0.554,5.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_NDR2,15041,,,ROTI4K,400,1,SHET,20,T2,1,SHET,1,1.0076,87.16,1.1,0.9,1.1,0.9,true,false,1.133,10.931,50549,,,NEDE4K,400,1,SHET,20,T2,1,SHET,1,1.0082,87.61,1.1,0.9,1.1,0.9,true,false,0.554,5.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_HR1,10740,,,BLHI4-,400,1,SHET,60,T6,1,SHET,1,1.0097,88.08,1.1,0.9,1.1,0.9,true,true,0,0,15040,,,ROTI4J,400,1,SHET,20,T2,1,SHET,1,1.0076,87.16,1.1,0.9,1.1,0.9,true,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_HR2,10740,,,BLHI4-,400,1,SHET,60,T6,1,SHET,1,1.0097,88.08,1.1,0.9,1.1,0.9,true,true,0,0,15041,,,ROTI4K,400,1,SHET,20,T2,1,SHET,1,1.0076,87.16,1.1,0.9,1.1,0.9,true,false,1.133,10.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_XR1,15040,,,ROTI4J,400,1,SHET,20,T2,1,SHET,1,1.0076,87.16,1.1,0.9,1.1,0.9,true,true,0,0,15840,,,KINT4J,400,1,SHET,20,T2,1,SHET,1,1.0042,85.93,1.1,0.9,1.1,0.9,true,false,0.742,7.165,15829,,,KINT2K,275,1,SHET,20,T2,1,SHET,1,1.0013,82.6,1.1,0.9,1.1,0.9,true,false,0.982,30.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_XR2,15041,,,ROTI4K,400,1,SHET,20,T2,1,SHET,1,1.0076,87.16,1.1,0.9,1.1,0.9,true,true,0,0,15849,,,KINT4K,400,1,SHET,20,T2,1,SHET,1,1.0044,85.94,1.1,0.9,1.1,0.9,true,false,0.742,7.165,15820,,,KINT2J,275,1,SHET,20,T2,1,SHET,1,1.0018,82.63,1.1,0.9,1.1,0.9,true,false,0.982,30.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_BG1,10640,,,BEAU4-,400,1,SHET,10,T1,1,SHET,1,1.0083,79.61,1.1,0.9,1.1,0.9,true,true,0,0,13940,,,FAUG4J,400,1,SHET,10,T1,1,SHET,1,1.0051,76.7,1.1,0.9,1.1,0.9,true,true,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_GEL1,13940,,,FAUG4J,400,1,SHET,10,T1,1,SHET,1,1.0051,76.7,1.1,0.9,1.1,0.9,true,true,0,0,29540,,,MELG4J,400,1,SHET,10,T1,1,SHET,1,1.005,74.53,1.1,0.9,1.1,0.9,true,false,0.498,7.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400kV_ELY1,29540,,,MELG4J,400,1,SHET,10,T1,1,SHET,1,1.005,74.53,1.1,0.9,1.1,0.9,true,true,0,0,13740,,,TUMM4-,400,1,SHET,40,T4,1,SHET,1,0.9959,69.21,1.1,0.9,1.1,0.9,true,false,1.102,16.293,25140,,,BONB4-,400,2,SPT,5,SPT,2,SPT,1,0.9923,61.83,1.1,0.9,1.1,0.9,true,false,2.606,38.629,60301,,,ZW052B,400,2,SPT,5,SPT,2,SPT,1,0.9929,60.07,1.1,0.9,1.1,0.9,true,false,2.9659999999999997,43.949,30540,,,DENN4-,400,2,SPT,5,SPT,2,SPT,1,0.9925,59.8,1.1,0.9,1.1,0.9,true,false,3.126,44.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
